2026-05-20 10:15:30.483 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:15:30.483 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: CustomObject
2026-05-20 10:15:30.484 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listed 2 total components across 2 metadata types
2026-05-20 10:15:30.486 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 2 components for type: ApexClass
2026-05-20 10:15:30.490 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: Report in folder: MyFolder
2026-05-20 10:15:30.493 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: ApexTrigger
2026-05-20 10:15:30.498 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing all metadata types from org
2026-05-20 10:15:30.499 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:15:30.502 [main] WARN  org.solenopsis.metadata.list.ListMetadata - Failed to list metadata type: BadType - Type not found
2026-05-20 10:15:30.502 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listed 1 total components across 2 metadata types
2026-05-20 10:15:30.505 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: CustomObject
2026-05-20 10:15:30.520 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 2 metadata types
2026-05-20 10:15:30.524 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: ApexClass
2026-05-20 10:15:30.525 [main] WARN  org.solenopsis.metadata.stats.MetadataStatistics - Failed to list metadata type: BadType - Type not found
2026-05-20 10:15:30.528 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 5 components across 2 types
2026-05-20 10:15:30.565 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:15:30.566 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 100 components for type: ApexClass
2026-05-20 10:15:30.567 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 75 components for type: Layout
2026-05-20 10:15:30.568 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 50 components for type: CustomObject
2026-05-20 10:15:30.570 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 225 components across 3 types
2026-05-20 10:15:30.573 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 0 metadata types
2026-05-20 10:15:30.574 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 0 components across 0 types
2026-05-20 10:15:30.579 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:15:30.581 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: ApexClass
2026-05-20 10:15:30.582 [main] WARN  org.solenopsis.metadata.stats.MetadataStatistics - Failed to list metadata type: BadType - Type not found
2026-05-20 10:15:30.583 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 5 components across 2 types
2026-05-20 10:15:30.594 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:15:30.595 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 10 components for type: Type1
2026-05-20 10:15:30.596 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 20 components for type: Type2
2026-05-20 10:15:30.597 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: Type3
2026-05-20 10:15:30.598 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 15 components for type: Type4
2026-05-20 10:15:30.599 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 8 components for type: Type5
